token,model,logprob_sum,count
838,delphi-llama2-100k,-9970.699522018433,2914
723,delphi-llama2-100k,-19556.205936677754,4102
1645,delphi-llama2-100k,-1965.1819100882858,627
552,delphi-llama2-100k,-14922.23673180095,6581
1248,delphi-llama2-100k,-5084.73407548666,1254
782,delphi-llama2-100k,-138.5426989942789,130
885,delphi-llama2-100k,-475.2356791496277,61
318,delphi-llama2-100k,-951.2232907284051,535
988,delphi-llama2-100k,-1088.2590236258693,696
1437,delphi-llama2-100k,-4610.657659769058,896
908,delphi-llama2-100k,-5151.663560390472,1424
1779,delphi-llama2-100k,-737.3966829925776,525
894,delphi-llama2-100k,-8937.323208600283,2561
3936,delphi-llama2-100k,-654.7092788219452,129
3970,delphi-llama2-100k,-548.2271795272827,112
3188,delphi-llama2-100k,-963.0919435024261,166
1448,delphi-llama2-100k,-3778.013473302126,959
1652,delphi-llama2-100k,-2315.124507457018,678
1397,delphi-llama2-100k,-5327.270740389824,1004
2317,delphi-llama2-100k,-2157.9811491966248,341
581,delphi-llama2-100k,-25668.245160251856,7121
1221,delphi-llama2-100k,-3174.6481983065605,1270
1382,delphi-llama2-100k,-5204.802939176559,855
1302,delphi-llama2-100k,-3796.945957660675,1010
701,delphi-llama2-100k,-14081.98167160526,3556
450,delphi-llama2-100k,-29137.373496366665,12349
814,delphi-llama2-100k,-6327.863778845407,3096
1480,delphi-llama2-100k,-2316.499329544604,610
262,delphi-llama2-100k,-9306.660396814346,1310
568,delphi-llama2-100k,-1158.646315611899,475
1272,delphi-llama2-100k,-1926.0024495143443,823
731,delphi-llama2-100k,-9015.632934570312,2509
2647,delphi-llama2-100k,-1403.0066959261894,244
1314,delphi-llama2-100k,-2658.159124620259,852
1693,delphi-llama2-100k,-2702.3159519732,718
2230,delphi-llama2-100k,-945.8058798089623,302
1029,delphi-llama2-100k,-10418.902546405792,1942
3818,delphi-llama2-100k,-606.8049639388919,168
2443,delphi-llama2-100k,-1557.0764220952988,320
1017,delphi-llama2-100k,-6207.385980963707,1863
1755,delphi-llama2-100k,-3358.4420578479767,584
825,delphi-llama2-100k,-4725.254562386312,2367
357,delphi-llama2-100k,-6212.070720076561,1346
427,delphi-llama2-100k,-723.6197103820741,246
3530,delphi-llama2-100k,-918.0692881345749,163
586,delphi-llama2-100k,-16950.932032316923,7007
657,delphi-llama2-100k,-20554.265035778284,5225
1404,delphi-llama2-100k,-4291.406599551439,971
1018,delphi-llama2-100k,-9902.88418239355,1980
1202,delphi-llama2-100k,-6601.859297126532,1437
1710,delphi-llama2-100k,-3034.2404901981354,497
821,delphi-llama2-100k,-7697.558165252209,2409
594,delphi-llama2-100k,-23807.836288541555,6585
1261,delphi-llama2-100k,-4648.193906053901,1232
725,delphi-llama2-100k,-10444.777920868248,3276
1020,delphi-llama2-100k,-4863.184776607901,1785
730,delphi-llama2-100k,-8863.048733770847,2554
815,delphi-llama2-100k,-9185.86094892025,2116
1110,delphi-llama2-100k,-6489.435090601444,1618
842,delphi-llama2-100k,-10646.777576819062,2876
2658,delphi-llama2-100k,-1722.4669892787933,256
1462,delphi-llama2-100k,-2127.460376739502,482
1241,delphi-llama2-100k,-6923.432750344276,1284
462,delphi-llama2-100k,-3645.6570844021626,1968
1405,delphi-llama2-100k,-3113.2579159736633,611
1817,delphi-llama2-100k,-3018.8957875967026,519
1980,delphi-llama2-100k,-1589.7109569311142,422
1487,delphi-llama2-100k,-2094.828843390569,860
1094,delphi-llama2-100k,-6738.794082283974,1562
1517,delphi-llama2-100k,-3601.2503717392683,855
498,delphi-llama2-100k,-20241.75321654603,11103
1107,delphi-llama2-100k,-6126.805188894272,1519
3672,delphi-llama2-100k,-1251.4735803604126,167
2191,delphi-llama2-100k,-1428.5225713402033,366
3898,delphi-llama2-100k,-597.3070337772369,89
1131,delphi-llama2-100k,-7375.407154560089,1452
1836,delphi-llama2-100k,-6325.126745950431,5292
1364,delphi-llama2-100k,-3115.8665163517,514
1001,delphi-llama2-100k,-6851.677026882768,1990
1090,delphi-llama2-100k,-6305.783476471901,1349
2516,delphi-llama2-100k,-706.3054519891739,126
1218,delphi-llama2-100k,-2888.9382662773132,830
1096,delphi-llama2-100k,-5793.4227721095085,1662
